355,355,62	6,8,6
418,302,71	12,11,7
414,196,74	10,20,9
62,299,77	10,12,7
358,243,85	12,12,13
107,366,84	7,7,6
357,345,94	11,21,10
320,325,96	11,22,8
429,222,96	25,15,4
88,346,99	6,9,7
329,307,100	7,12,3
98,142,105	6,8,6
224,284,111	18,9,15
101,386,109	6,6,4
399,309,113	46,42,8
391,157,113	10,6,5
356,331,119	23,32,17
133,205,123	46,43,19
166,207,126	28,41,18
330,317,128	13,11,16
404,268,124	25,10,3
385,275,126	12,7,5
373,332,126	9,6,3
352,335,135	20,36,19
148,350,132	20,12,8
204,315,133	10,8,7
337,136,133	6,6,5
151,265,136	8,6,5
436,278,137	11,8,4
130,230,138	19,14,3
140,322,141	28,16,9
218,290,142	13,6,9
136,338,139	6,12,3
173,229,140	15,30,3
436,267,141	20,11,4
379,195,143	15,23,7
112,248,142	7,6,4
166,175,148	11,37,12
140,358,144	10,9,5
140,196,146	9,12,5
152,210,150	11,12,5
387,257,156	25,13,15
158,318,151	7,18,5
384,289,156	23,6,13
386,331,157	18,6,10
211,303,157	10,9,7
159,203,166	22,21,14
375,315,164	26,12,11
208,155,166	27,21,12
341,315,164	6,19,9
395,229,165	19,7,3
396,225,180	13,12,12
181,192,178	7,9,5
339,310,181	6,19,8
363,251,191	18,7,13
153,269,191	30,8,11
182,297,199	43,38,23
197,334,207	9,11,10
143,331,212	33,30,12
436,275,69	17,7,20
419,303,71	10,9,6
139,366,72	6,6,5
149,359,78	12,10,7
358,244,86	12,10,11
166,327,88	8,6,7
358,345,94	10,21,10
318,329,95	7,14,7
430,221,96	23,12,4
98,142,104	6,6,5
380,193,114	10,36,18
224,285,112	12,7,12
395,305,113	38,34,7
356,332,119	22,30,17
390,157,114	9,6,4
135,206,124	39,38,17
166,207,126	28,41,18
170,361,119	8,11,4
105,197,124	17,11,9
330,317,128	13,11,16
178,347,123	8,18,6
371,221,125	9,16,6
404,268,124	25,10,3
184,320,128	6,31,6
121,209,130	12,11,7
352,335,136	20,36,18
148,348,132	19,9,8
337,136,133	6,6,5
202,315,134	7,8,5
144,225,137	33,21,9
130,230,138	19,14,3
140,321,141	28,15,9
218,290,142	13,6,9
368,208,143	8,19,9
173,229,140	14,30,3
431,267,141	8,11,3
166,176,148	10,36,11
138,360,145	7,6,4
140,196,146	9,12,5
152,210,150	11,12,5
386,257,156	22,13,14
159,204,166	22,20,14
375,315,164	26,11,11
209,155,166	26,21,12
341,315,164	6,19,9
125,283,166	43,8,10
395,230,165	19,6,3
156,247,172	47,10,10
165,274,172	33,19,4
351,215,183	23,19,15
363,252,191	18,6,13
153,269,191	30,7,11
185,297,199	37,38,23
196,333,206	7,8,8
187,211,207	7,16,7
143,330,212	33,29,12
340,281,222	6,8,19
436,275,69	17,7,20
438,195,72	13,10,16
420,305,71	6,6,4
147,359,78	9,7,6
359,243,86	10,9,10
360,349,93	6,8,5
426,223,96	14,7,3
381,191,113	8,33,17
223,285,113	10,7,10
395,305,113	38,34,7
356,332,119	22,29,17
135,206,124	39,38,17
166,207,126	28,41,18
170,361,119	8,11,4
168,188,126	11,38,17
331,318,129	12,10,14
118,207,129	7,6,5
351,332,136	19,31,18
148,348,132	19,9,8
144,225,137	33,21,9
132,310,141	44,25,13
173,229,140	14,29,3
143,321,142	21,14,7
431,267,141	7,11,3
217,290,144	11,6,5
166,174,148	10,33,10
368,213,146	8,9,4
151,208,150	9,9,4
386,260,156	22,8,13
354,324,163	20,21,17
159,204,166	22,20,14
372,315,163	19,10,9
208,155,166	25,21,12
126,283,166	42,6,9
395,230,165	18,6,3
157,247,172	45,9,10
173,273,172	18,14,3
371,344,178	11,14,12
351,215,183	23,19,14
158,269,190	19,6,9
185,295,193	37,34,11
196,306,205	9,14,10
142,328,212	29,24,11
340,281,222	6,7,17
437,275,68	16,6,19
385,182,91	10,46,24
359,244,86	10,8,10
347,253,99	6,11,14
426,223,96	14,7,3
394,304,114	37,32,6
349,336,118	9,21,13
120,279,120	42,23,10
133,202,124	31,30,15
168,187,126	10,37,17
167,208,127	24,37,16
331,317,129	11,9,13
351,332,136	19,31,18
151,348,133	13,8,6
144,225,137	33,21,9
132,310,141	43,24,13
173,229,140	13,29,3
144,321,142	20,14,7
166,174,148	8,32,10
150,207,149	6,6,3
384,260,155	18,8,11
354,324,163	20,20,17
163,205,164	14,18,11
371,314,163	16,9,8
208,155,166	25,21,12
126,283,166	41,6,9
394,230,165	17,6,3
334,190,170	29,45,7
176,271,172	9,10,3
145,246,174	20,6,5
359,290,180	38,10,15
373,346,179	7,7,8
351,216,183	22,18,14
191,208,186	13,47,11
158,269,190	19,6,9
192,292,194	23,28,10
181,343,191	6,21,5
153,254,200	47,11,18
173,306,195	13,11,5
294,186,196	9,6,3
197,305,204	8,12,9
142,328,212	26,24,11
83,322,80	23,7,11
385,182,91	10,46,24
359,244,86	10,8,10
110,323,88	27,6,7
413,300,92	26,21,6
347,253,99	6,11,13
368,222,111	8,22,24
359,248,110	31,43,9
394,304,114	37,32,6
349,336,118	9,20,13
120,279,120	42,23,10
168,188,127	10,35,15
133,198,125	19,19,10
332,317,130	10,9,12
169,211,130	14,21,10
351,332,136	18,31,17
